school_name,street,postcode,easting,northing,web_site,school_group,maintain_status,lea_no,dcfs_no,_geom
Osborne Nursery School,Station Road,B23 6UB,411129,292158,http://www.osbornenurseryschool.co.uk/,Nursery,LA Nursery School,330,1049,"{""type"":""Point"",""coordinates"":[-1.83738939567057,52.5272007271608]}"
Osborne Primary School,Station Road,B23 6UB,411070,292167,http://www.osborne-pri.bham.sch.uk/,Primary,Community School,330,2436,"{""type"":""Point"",""coordinates"":[-1.83825877193044,52.5272828015989]}"
Oscott Manor School,Old Oscott Hill,B44 9SP,407390,294358,http://www.oscottmanor.bham.sch.uk/,Special,Community School,330,7053,"{""type"":""Point"",""coordinates"":[-1.89245355712944,52.547041139604]}"
Our Lady and St Rose of Lima Catholic Primary School,Gregory Avenue,B29 5DY,402640,282002,http://www.olstrose.bham.sch.uk/,Primary,Voluntary Aided School,330,3351,"{""type"":""Point"",""coordinates"":[-1.96259544533779,52.4359968864679]}"
Our Lady of Fatima Catholic Primary School,Winchfield Drive,B17 8TR,401731,285421,http://www.olfatima.bham.sch.uk/,Primary,Academy Converter,330,3374,"{""type"":""Point"",""coordinates"":[-1.97594738977514,52.4667444239543]}"
Our Lady of Lourdes Catholic Primary School (NC),Trittiford Road,B13 0EU,409595,280480,http://www.ourladyoflourdesprimary.com/,Primary,Voluntary Aided School,330,3328,"{""type"":""Point"",""coordinates"":[-1.86033236163312,52.4222361087643]}"
Our Lady's Catholic Primary School,East Meadway,B33 0AU,415782,286927,http://www.ourladys.bham.sch.uk/,Primary,Voluntary Aided School,330,3357,"{""type"":""Point"",""coordinates"":[-1.76906615105727,52.480060937419]}"
Paganel Primary School,Swinford Road,B29 5TG,402230,282911,http://paganelschool.com/,Primary,Community School,330,2021,"{""type"":""Point"",""coordinates"":[-1.96861816481543,52.4441778255691]}"
Paget Primary School,Paget Road,B24 0JP,412460,291569,http://www.paget.bham.sch.uk/,Primary,Community School,330,2149,"{""type"":""Point"",""coordinates"":[-1.81779258539503,52.5218771728008]}"
Park Hill Primary School,Alcester Road,B13 8BB,407712,283660,http://www.parkhill.bham.sch.uk/,Primary,Community School,330,2150,"{""type"":""Point"",""coordinates"":[-1.88796391096919,52.450853726199]}"
Parkfield Community School,Parkfield Road,B8 3AX,410318,287495,http://www.parkfield.bham.sch.uk/,Primary,Academy Converter,330,2458,"{""type"":""Point"",""coordinates"":[-1.84948638449417,52.4852877323601]}"
Pegasus Primary School,Turnhouse Road,B35 6PR,414848,291474,http://www.pegasusprimary.co.uk,Primary,Academy Converter,330,2452,"{""type"":""Point"",""coordinates"":[-1.78261715750156,52.5209638256932]}"
Penns Primary School,Berwood Road,B72 1BS,412545,292802,http://www.pennsji.bham.sch.uk/,Primary,Community School,330,2425,"{""type"":""Point"",""coordinates"":[-1.81650847508907,52.53295970836]}"
Percy Shurmer Academy,Longmore Street,B12 9ED,407458,285109,http://www.percyshurmeracademy.org/,Primary,Academy Sponsor Led,330,2057,"{""type"":""Point"",""coordinates"":[-1.8916694250316,52.463892616386]}"
Perry Beeches II The Free School,Newhall Street,B3 1SJ,406394,287322,http://www.perrybeechesii.co.uk/,Secondary,Free Schools,330,4002,"{""type"":""Point"",""coordinates"":[-1.9072884931883,52.4837917189239]}"
Perry Beeches III The Free School,"Langley Point, Zone 10c, Bath Row",B15 1LZ,406317,286062,http://www.perrybeechesiii.co.uk/welcome-to-our-website/,Secondary,Free Schools,330,4011,"{""type"":""Point"",""coordinates"":[-1.90844578681963,52.4724652704016]}"
Perry Beeches Infant School,Beeches Road,B42 2PY,406423,293635,http://www.perrybeeches-inf.bham.sch.uk/,Infants,Community School,330,2017,"{""type"":""Point"",""coordinates"":[-1.90674182327537,52.5405535198972]}"
